video,subject,action,viewpoint
v01_s10_e04.avi,10,5,"1
"
v02_s10_e00.avi,10,5,"2
"
v03_s10_e02.avi,10,5,"3
"
v02_s10_e01.avi,10,5,"2
"
v01_s10_e05.avi,10,5,"1
"
v01_s10_e02.avi,10,5,"1
"
v03_s10_e02.avi,10,11,"3
"
v02_s10_e01.avi,10,11,"2
"
v01_s10_e02.avi,10,11,"1
"
v01_s10_e05.avi,10,11,"1
"
v03_s10_e04.avi,10,11,"3
"
v03_s10_e03.avi,10,11,"3
"
v01_s10_e04.avi,10,11,"1
"
v01_s10_e03.avi,10,11,"1
"
v02_s10_e00.avi,10,11,"2
"
v01_s10_e00.avi,10,11,"1
"
v02_s10_e03.avi,10,11,"2
"
v03_s10_e00.avi,10,11,"3
"
v02_s10_e02.avi,10,11,"2
"
v01_s10_e01.avi,10,11,"1
"
v03_s10_e01.avi,10,11,"3
"
v03_s10_e03.avi,10,2,"3
"
v03_s10_e04.avi,10,2,"3
"
v02_s10_e00.avi,10,2,"2
"
v01_s10_e03.avi,10,2,"1
"
v01_s10_e04.avi,10,2,"1
"
v03_s10_e02.avi,10,2,"3
"
v01_s10_e05.avi,10,2,"1
"
v01_s10_e02.avi,10,2,"1
"
v02_s10_e01.avi,10,2,"2
"
v01_s10_e01.avi,10,2,"1
"
v02_s10_e02.avi,10,2,"2
"
v03_s10_e01.avi,10,2,"3
"
v02_s10_e04.avi,10,2,"2
"
v01_s10_e00.avi,10,2,"1
"
v03_s10_e00.avi,10,2,"3
"
v01_s10_e02.avi,10,8,"1
"
v02_s10_e01.avi,10,8,"2
"
v03_s10_e02.avi,10,8,"3
"
v02_s10_e00.avi,10,8,"2
"
v01_s10_e03.avi,10,8,"1
"
v01_s10_e04.avi,10,8,"1
"
v03_s10_e03.avi,10,8,"3
"
v03_s10_e04.avi,10,8,"3
"
v03_s10_e00.avi,10,8,"3
"
v02_s10_e04.avi,10,8,"2
"
v02_s10_e03.avi,10,8,"2
"
v01_s10_e00.avi,10,8,"1
"
v03_s10_e01.avi,10,8,"3
"
v01_s10_e01.avi,10,8,"1
"
v02_s10_e02.avi,10,8,"2
"
v03_s10_e04.avi,10,6,"3
"
v03_s10_e03.avi,10,6,"3
"
v01_s10_e04.avi,10,6,"1
"
v01_s10_e03.avi,10,6,"1
"
v02_s10_e00.avi,10,6,"2
"
v03_s10_e02.avi,10,6,"3
"
v02_s10_e01.avi,10,6,"2
"
v01_s10_e02.avi,10,6,"1
"
v01_s10_e05.avi,10,6,"1
"
v02_s10_e02.avi,10,6,"2
"
v01_s10_e01.avi,10,6,"1
"
v03_s10_e01.avi,10,6,"3
"
v01_s10_e00.avi,10,6,"1
"
v02_s10_e03.avi,10,6,"2
"
v02_s10_e04.avi,10,6,"2
"
v03_s10_e00.avi,10,6,"3
"
v01_s10_e01.avi,10,12,"1
"
v02_s10_e02.avi,10,12,"2
"
v03_s10_e01.avi,10,12,"3
"
v02_s10_e03.avi,10,12,"2
"
v02_s10_e04.avi,10,12,"2
"
v01_s10_e00.avi,10,12,"1
"
v03_s10_e00.avi,10,12,"3
"
v03_s10_e04.avi,10,12,"3
"
v03_s10_e03.avi,10,12,"3
"
v02_s10_e00.avi,10,12,"2
"
v01_s10_e04.avi,10,12,"1
"
v01_s10_e03.avi,10,12,"1
"
v03_s10_e02.avi,10,12,"3
"
v01_s10_e02.avi,10,12,"1
"
v02_s10_e01.avi,10,12,"2
"
v02_s10_e02.avi,10,1,"2
"
v01_s10_e01.avi,10,1,"1
"
v03_s10_e01.avi,10,1,"3
"
v01_s10_e00.avi,10,1,"1
"
v02_s10_e04.avi,10,1,"2
"
v02_s10_e03.avi,10,1,"2
"
v03_s10_e03.avi,10,1,"3
"
v03_s10_e04.avi,10,1,"3
"
v01_s10_e04.avi,10,1,"1
"
v02_s10_e00.avi,10,1,"2
"
v03_s10_e02.avi,10,1,"3
"
v02_s10_e01.avi,10,1,"2
"
v01_s10_e02.avi,10,1,"1
"
